,epoch,d_loss,g_loss,d_score,g_score
0,1,0.2663319628720622,0.29041819866881313,0.4939609118893124,0.4939609118893124
0,2,0.20093360511334227,0.24012033511676303,0.5704924831269097,0.5704924831269097
0,3,0.2565026291243363,0.22102931522860264,0.5199469363035129,0.5199469363035129
0,4,0.23099342844333035,0.20182885251530364,0.5427944489032868,0.5427944489032868
0,5,0.22832480898822646,0.1906478154052852,0.5320032583661827,0.5320032583661827
0,6,0.24039767505015075,0.19426465307772559,0.5351898366188907,0.5351898366188907
0,7,0.22894398259669743,0.19001724665742642,0.5475290993769645,0.5475290993769645
0,8,0.27444483956179944,0.1889470591044011,0.4594366508554742,0.4594366508554742
0,9,0.25415087388541646,0.1753052360361998,0.5073772128646473,0.5073772128646473
0,10,0.25200229548067454,0.17310374857511227,0.4825986969263519,0.4825986969263519
0,11,0.2509162390088461,0.16484665248288688,0.5084191266312656,0.5084191266312656
0,12,0.2503372286377821,0.16737000333018093,0.5040954695328811,0.5040954695328811
0,13,0.24992641826550485,0.16138116564536828,0.4983373380489298,0.4983373380489298
0,14,0.24972513760907583,0.15772672073349575,0.4923264211918934,0.4923264211918934
0,15,0.250662670636592,0.15322901274624917,0.5033065117347033,0.5033065117347033
0,16,0.2504525963002579,0.14671550533538522,0.5032511817084419,0.5032511817084419
0,17,0.24953099995492453,0.14274983810213515,0.49763363324494725,0.49763363324494725
0,18,0.2496083711724045,0.13868576566497964,0.5065250758186401,0.5065250758186401
0,19,0.24825777578226216,0.13642171192839442,0.5006270359957234,0.5006270359957234
0,20,0.2508243994221311,0.132581186661599,0.5030807611773133,0.5030807611773133
0,21,0.2504315005647769,0.13124757795688138,0.5093280874102949,0.5093280874102949
0,22,0.24987727946226537,0.12398525288545463,0.5044416395456117,0.5044416395456117
0,23,0.24922355203583857,0.1250065207042528,0.5021522247408289,0.5021522247408289
0,24,0.24921454483246708,0.12636724980161532,0.4983909561372346,0.4983909561372346
0,25,0.24792794326701798,0.12170984495276588,0.5053119814220363,0.5053119814220363
